标题链接,标题,头像,flex1,flex2,text-14,text-141,flex3,flex4,flex5,rounded,text-142,缩略图,flex7,text-143,flex8,flex9
https://www.producthunt.com/products/cursor, 1.Cursor—The AI Code Editor,https://ph-files.imgix.net/ada2695b-e20b-4c1b-b04a-e0fbd9daf466.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=40&h=40&fit=crop&frame=1&dpr=1,1.,Cursor,4.8 (157 reviews),Migma AI,Code editors,https://www.producthunt.com/products/cursor,https://www.producthunt.com/products/cursor/shoutouts,https://ph-files.imgix.net/ada2695b-e20b-4c1b-b04a-e0fbd9daf466.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=40&h=40&fit=crop&frame=1&dpr=1,"Built to make you extraordinarily productive, Cursor is the best way to code with AI.",https://ph-files.imgix.net/0b40ec79-541f-4676-a1cd-42ea8959cde9.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1,AI Coding Assistants,Langfuse Custom Dashboards,,
https://www.producthunt.com/products/lovable, 2.Lovable—The world's first AI Fullstack Engineer,https://ph-files.imgix.net/c7e0f451-1ad5-4d26-b5fd-075ae3aa9db4.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1,2.,Lovable,4.7 (245 reviews),KeyStrokes,No-code platforms,https://www.producthunt.com/products/lovable,https://www.producthunt.com/products/lovable/shoutouts,,The AI Fullstack Engineer that works. Ship lovable full-stack applications 20x faster than by writing code ❤,https://ph-files.imgix.net/c7e0f451-1ad5-4d26-b5fd-075ae3aa9db4.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1,AI Coding Assistants,Boxo,https://ph-files.imgix.net/d1d03989-35c7-490a-8eea-67a3b85a965d.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1,https://ph-files.imgix.net/5faa399a-b60d-4d21-a1b8-e3541aad3621.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1
https://www.producthunt.com/products/replit,"3.Replit—Idea to app, fast.",https://ph-files.imgix.net/5f621a68-2838-4ad2-97a5-fd3fc6dad117.jpeg?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=40&h=40&fit=crop&frame=1&dpr=1,3.,Replit,3.9 (25 reviews),Boxo,Code editors,https://www.producthunt.com/products/replit,https://www.producthunt.com/products/replit/shoutouts,https://ph-files.imgix.net/5f621a68-2838-4ad2-97a5-fd3fc6dad117.jpeg?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=40&h=40&fit=crop&frame=1&dpr=1,"Replit turns your ideas into apps, fast. With Replit's Agent and Assistant, create apps from natural language and launch in a single click. Build and deploy full-stack apps directly from your browser—no setup required. Whether you're a non-technical beginner or a pro, Replit bridges the gap, empowering everyone to create, collaborate, and bring ideas to life.",https://ph-files.imgix.net/64964b85-6408-4543-9276-2c447e484df4.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1,AI Coding Assistants,Velozity,https://ph-files.imgix.net/d790b507-ead3-4c97-8773-0a2f29420b23.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1,https://ph-files.imgix.net/23127f5d-91ec-49d3-ae31-7b61bf0b53ca.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1
https://www.producthunt.com/products/windsurf,"4.Windsurf—The first agentic IDE. Tomorrow's editor, today.",https://ph-files.imgix.net/eeb9b2eb-49ed-4be5-8db0-4bd1a01d39e4.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=40&h=40&fit=crop&frame=1&dpr=1,4.,Windsurf,4.9 (43 reviews),Files Magic AI,Code editors,https://www.producthunt.com/products/windsurf,https://www.producthunt.com/products/windsurf/shoutouts,https://ph-files.imgix.net/eeb9b2eb-49ed-4be5-8db0-4bd1a01d39e4.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=40&h=40&fit=crop&frame=1&dpr=1,"Windsurf is an IDE that enables anyone to collaborate in lockstep with AI. Built by the Codeium team, the Windsurf Editor combines the best of copilot and agent systems to help you ship products faster, leveraging better context to provide better suggestions.",https://ph-files.imgix.net/e79e5dc4-c6db-4a74-b84e-598a96ca1b1b.jpeg?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1,AI Coding Assistants,UXAudit.Now,https://ph-files.imgix.net/a26b4495-586b-4156-a527-8148037d3329.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1,https://ph-files.imgix.net/8bf22ed8-4b8a-4fda-b6d9-37fa43e463fd.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1
https://www.producthunt.com/products/zed, 5.Zed—The Fastest AI Code Editor,https://ph-files.imgix.net/5e384dcc-8e07-4d0a-93b6-720c0bb005b6.jpeg?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=40&h=40&fit=crop&frame=1&dpr=1,5.,Zed,4.9 (30 reviews),Almeta ML,Code editors,https://www.producthunt.com/products/zed,https://www.producthunt.com/products/zed/shoutouts,https://ph-files.imgix.net/5e384dcc-8e07-4d0a-93b6-720c0bb005b6.jpeg?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=40&h=40&fit=crop&frame=1&dpr=1,Zed is a next-generation code editor designed for high-performance collaboration with humans and AI.,https://ph-files.imgix.net/df772058-5ecc-4489-aea2-6b743de36326.jpeg?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1,AI Coding Assistants,DockFix 3.0,https://ph-files.imgix.net/2f858f13-a52a-49d5-891e-2c96418e15a8.jpeg?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1,https://ph-files.imgix.net/999d6990-d81d-4968-81ce-b8df02995e91.jpeg?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1
https://www.producthunt.com/products/github-copilot, 6.Github Copilot—Your AI pair programmer,https://ph-files.imgix.net/9511fe6d-3bff-472b-ab02-f1c38d036235.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=40&h=40&fit=crop&frame=1&dpr=1,6.,Github Copilot,4.8 (11 reviews),Gleo AI,AI Coding Assistants,https://www.producthunt.com/products/github-copilot,https://www.producthunt.com/products/github-copilot/shoutouts,https://ph-files.imgix.net/9511fe6d-3bff-472b-ab02-f1c38d036235.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=40&h=40&fit=crop&frame=1&dpr=1,"GitHub Copilot works alongside you directly in your editor, suggesting whole lines or entire functions for you. Powered by OpenAI its trained on billions of lines of public code, saving you time and helping you stay focused.",https://ph-files.imgix.net/ba23e93d-93b6-4b5a-ae00-011bdbeaa1a7.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1,,Bolt Charge,https://ph-files.imgix.net/b080bca3-8fd8-4e22-980c-7a4d006c3de5.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1,
https://www.producthunt.com/products/warp, 7.Warp—The intelligent terminal,https://ph-files.imgix.net/914cce51-89c3-4884-aa9f-9a7481721517.jpeg?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=40&h=40&fit=crop&frame=1&dpr=1,7.,Warp,4.8 (159 reviews),Glazed,AI Coding Assistants,https://www.producthunt.com/products/warp,https://www.producthunt.com/products/warp/shoutouts,https://ph-files.imgix.net/914cce51-89c3-4884-aa9f-9a7481721517.jpeg?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=40&h=40&fit=crop&frame=1&dpr=1,Warp is the terminal with AI and your dev team's knowledge built-in.,https://ph-files.imgix.net/e639c62b-2b8e-4e77-80c0-c5f3b90828fe.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1,Terminals,ClipBook,https://ph-files.imgix.net/ca52ad4b-d7d0-47fa-a151-1dd6fb977a47.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1,https://ph-files.imgix.net/62286bb2-00b3-46ad-a9c9-df066d81d01d.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1
https://www.producthunt.com/products/pytorch-2, 8.PyTorch—Machine learning library based on the Torch library,https://ph-files.imgix.net/37d77c0c-f875-49bc-a840-a347e9ee4a5f.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=40&h=40&fit=crop&frame=1&dpr=1,8.,PyTorch,5.0 (1 review),ContextGem,AI Coding Assistants,https://www.producthunt.com/products/pytorch-2,https://www.producthunt.com/products/pytorch-2/shoutouts,https://ph-files.imgix.net/37d77c0c-f875-49bc-a840-a347e9ee4a5f.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=40&h=40&fit=crop&frame=1&dpr=1,,,AI Infrastructure Tools,Spika.ai,,
https://www.producthunt.com/products/webstorm,"9.JetBrains—WebStorm: The JavaScript and TypeScript IDE, by JetBrains",https://ph-files.imgix.net/76f1e56d-bff2-464f-9c6a-6ed35594cb90.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=40&h=40&fit=crop&frame=1&dpr=1,9.,JetBrains,5.0 (2 reviews),Zupport AI,Code editors,https://www.producthunt.com/products/webstorm,https://www.producthunt.com/products/webstorm/shoutouts,https://ph-files.imgix.net/76f1e56d-bff2-464f-9c6a-6ed35594cb90.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=40&h=40&fit=crop&frame=1&dpr=1,"Make development more productive and enjoyable with WebStorm, the IDE for JavaScript and related technologies.",https://ph-files.imgix.net/1a9d6af4-5793-418b-8949-97af6cf713fc.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1,AI Coding Assistants,Google Maps Extended Routes,,
https://www.producthunt.com/products/cheat-layer, 10.Cheat Layer—Automate your business from end to end in natural language.,https://ph-files.imgix.net/37b0455d-2bbc-4be6-986f-585f2fe75689.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=40&h=40&fit=crop&frame=1&dpr=1,10.,Cheat Layer,4.8 (89 reviews),SigmaRemote,No-code platforms,https://www.producthunt.com/products/cheat-layer,https://www.producthunt.com/products/cheat-layer/shoutouts,https://ph-files.imgix.net/37b0455d-2bbc-4be6-986f-585f2fe75689.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=40&h=40&fit=crop&frame=1&dpr=1,"Cheat Layer builds entire automations for you from end-to-end in simple language, meeting all users at their level of understanding. We taught ChatGPT our internal library to solve the last-mile of automation roadblocks, enabling it to execute code instantly.",https://ph-files.imgix.net/81d2faf4-ae5e-43f6-ba10-2abbac6debbb.jpeg?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1,Automation tools,,https://ph-files.imgix.net/7227ae34-8838-483b-8c55-6a8ff10d370d.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1,https://ph-files.imgix.net/ba323165-f6df-4cbc-8b88-f069cfebc018.png?auto=compress&codec=mozjpeg&cs=strip&auto=format&w=188&h=118&fit=crop&frame=1&dpr=1
